doc_id,n_words,n_tokens,language,corpus_code
KR4a0001_006,317,191,Classical_Chinese,Kyoto
KR4a0001_007,210,122,Classical_Chinese,Kyoto
KR4a0001_008,1740,688,Classical_Chinese,Kyoto
KR4a0001_009,1189,607,Classical_Chinese,Kyoto
ln94200-1,86,68,Czech,PDT
ln94200-10,95,83,Czech,PDT
ln94200-100,310,216,Czech,PDT
ln94200-101,471,298,Czech,PDT
ln94200-102,289,198,Czech,PDT
ln94200-105,419,270,Czech,PDT
ln94200-106,91,68,Czech,PDT
ln94200-107,136,108,Czech,PDT
ln94200-108,136,100,Czech,PDT
ln94200-109,43,35,Czech,PDT
ln94200-11,150,109,Czech,PDT
ln94200-110,89,79,Czech,PDT
ln94200-111,139,115,Czech,PDT
ln94200-114,123,96,Czech,PDT
ln94200-115,112,81,Czech,PDT
ln94200-116,118,86,Czech,PDT
ln94200-117,123,94,Czech,PDT
ln94200-118,576,377,Czech,PDT
ln94200-119,337,258,Czech,PDT
ln94200-12,126,99,Czech,PDT
ln94200-120,613,411,Czech,PDT
ln94200-123,696,448,Czech,PDT
ln94200-124,651,394,Czech,PDT
ln94200-125,895,562,Czech,PDT
ln94200-126,715,442,Czech,PDT
ln94200-127,2558,1180,Czech,PDT
ln94200-128,295,215,Czech,PDT
ln94200-129,18,18,Czech,PDT
ln94200-13,77,65,Czech,PDT
ln94200-132,110,87,Czech,PDT
ln94200-133,54,46,Czech,PDT
ln94200-134,115,87,Czech,PDT
ln94200-135,56,48,Czech,PDT
ln94200-136,528,353,Czech,PDT
ln94200-137,364,253,Czech,PDT
ln94200-138,83,68,Czech,PDT
ln94200-139,150,107,Czech,PDT
ln94200-141,165,123,Czech,PDT
ln94200-142,327,226,Czech,PDT
ln94200-143,451,283,Czech,PDT
ln94200-144,222,156,Czech,PDT
ln94200-145,20,20,Czech,PDT
ln94200-146,34,31,Czech,PDT
ln94200-147,63,52,Czech,PDT
ln94200-148,46,39,Czech,PDT
ln94200-150,171,121,Czech,PDT
ln94200-151,300,202,Czech,PDT
ln94200-152,69,57,Czech,PDT
ln94200-153,782,457,Czech,PDT
ln94200-154,253,124,Czech,PDT
ln94200-155,735,441,Czech,PDT
ln94200-156,151,103,Czech,PDT
ln94200-157,176,76,Czech,PDT
ln94200-16,127,93,Czech,PDT
ln94200-160,330,224,Czech,PDT
ln94200-161,260,194,Czech,PDT
ln94200-162,465,308,Czech,PDT
ln94200-163,97,78,Czech,PDT
ln94200-164,384,264,Czech,PDT
ln94200-165,215,150,Czech,PDT
ln94200-166,130,104,Czech,PDT
ln94200-169,386,245,Czech,PDT
ln94200-17,86,68,Czech,PDT
ln94200-170,516,335,Czech,PDT
ln94200-171,432,290,Czech,PDT
ln94200-172,579,379,Czech,PDT
ln94200-173,816,545,Czech,PDT
ln94200-174,121,94,Czech,PDT
ln94200-175,33,31,Czech,PDT
ln94200-2,83,70,Czech,PDT
ln94200-20,127,96,Czech,PDT
ln94200-21,310,222,Czech,PDT
ln94200-22,291,166,Czech,PDT
ln94200-23,177,113,Czech,PDT
ln94200-24,226,156,Czech,PDT
ln94200-25,14,13,Czech,PDT
ln94200-26,493,335,Czech,PDT
ln94200-29,231,72,Czech,PDT
ln94200-3,99,70,Czech,PDT
ln94200-30,499,338,Czech,PDT
ln94200-31,232,158,Czech,PDT
ln94200-32,234,141,Czech,PDT
ln94200-33,104,82,Czech,PDT
ln94200-34,195,131,Czech,PDT
ln94200-35,174,133,Czech,PDT
ln94200-38,455,253,Czech,PDT
ln94200-39,340,222,Czech,PDT
ln94200-4,84,68,Czech,PDT
ln94200-40,5,5,Czech,PDT
ln94200-41,6,6,Czech,PDT
ln94200-42,487,272,Czech,PDT
ln94200-43,61,43,Czech,PDT
ln94200-44,221,120,Czech,PDT
ln94200-47,139,99,Czech,PDT
ln94200-48,168,123,Czech,PDT
ln94200-49,637,393,Czech,PDT
ln94200-5,94,68,Czech,PDT
ln94200-50,67,56,Czech,PDT
ln94200-51,228,142,Czech,PDT
ln94200-52,294,191,Czech,PDT
ln94200-53,51,45,Czech,PDT
ln94200-56,99,56,Czech,PDT
ln94200-57,118,91,Czech,PDT
ln94200-58,178,123,Czech,PDT
ln94200-59,141,109,Czech,PDT
ln94200-6,87,70,Czech,PDT
ln94200-60,375,258,Czech,PDT
ln94200-61,747,476,Czech,PDT
ln94200-62,15,15,Czech,PDT
ln94200-65,80,59,Czech,PDT
ln94200-66,263,189,Czech,PDT
ln94200-67,25,24,Czech,PDT
ln94200-68,233,168,Czech,PDT
ln94200-69,120,80,Czech,PDT
ln94200-7,82,65,Czech,PDT
ln94200-70,103,81,Czech,PDT
ln94200-71,121,94,Czech,PDT
ln94200-74,82,65,Czech,PDT
ln94200-75,136,107,Czech,PDT
ln94200-76,111,82,Czech,PDT
ln94200-77,127,96,Czech,PDT
ln94200-78,204,142,Czech,PDT
ln94200-79,213,145,Czech,PDT
ln94200-8,118,93,Czech,PDT
ln94200-80,12,12,Czech,PDT
ln94200-83,314,206,Czech,PDT
ln94200-84,165,107,Czech,PDT
ln94200-85,167,123,Czech,PDT
ln94200-86,83,68,Czech,PDT
ln94200-87,83,72,Czech,PDT
ln94200-88,63,51,Czech,PDT
ln94200-89,83,66,Czech,PDT
ln94200-9,76,59,Czech,PDT
ln94200-92,53,48,Czech,PDT
ln94200-93,88,71,Czech,PDT
ln94200-94,29,28,Czech,PDT
ln94200-95,105,82,Czech,PDT
ln94200-96,171,120,Czech,PDT
ln94200-97,225,151,Czech,PDT
ln94200-98,52,45,Czech,PDT
ln94200-99,190,137,Czech,PDT
ln94202-100,129,98,Czech,PDT
ln94202-101,564,368,Czech,PDT
ln94202-102,388,262,Czech,PDT
ln94202-103,443,284,Czech,PDT
ln94202-104,18,18,Czech,PDT
ln94202-105,21,19,Czech,PDT
ln94202-106,1655,818,Czech,PDT
ln94202-107,618,367,Czech,PDT
ln94202-11,227,170,Czech,PDT
ln94202-110,87,66,Czech,PDT
ln94202-111,149,114,Czech,PDT
ln94202-112,236,172,Czech,PDT
ln94202-113,179,135,Czech,PDT
ln94202-114,7,7,Czech,PDT
ln94202-115,107,79,Czech,PDT
ln94202-116,39,34,Czech,PDT
ln94202-119,167,131,Czech,PDT
ln94202-12,103,83,Czech,PDT
ln94202-120,22,21,Czech,PDT
ln94202-121,374,236,Czech,PDT
ln94202-123,1797,861,Czech,PDT
ln94202-124,143,104,Czech,PDT
ln94202-125,298,220,Czech,PDT
ln94202-128,403,241,Czech,PDT
ln94202-129,21,21,Czech,PDT
ln94202-13,727,454,Czech,PDT
ln94202-130,285,209,Czech,PDT
ln94202-131,215,150,Czech,PDT
ln94202-132,133,96,Czech,PDT
ln94202-133,312,226,Czech,PDT
ln94202-134,208,160,Czech,PDT
ln94202-137,506,317,Czech,PDT
ln94202-138,13,13,Czech,PDT
ln94202-139,486,294,Czech,PDT
ln94202-14,394,296,Czech,PDT
ln94202-15,517,352,Czech,PDT
ln94202-16,235,169,Czech,PDT
ln94202-17,181,128,Czech,PDT
ln94202-18,56,50,Czech,PDT
ln94202-20,690,414,Czech,PDT
ln94202-21,58,48,Czech,PDT
ln94202-22,185,145,Czech,PDT
ln94202-23,376,250,Czech,PDT
ln94202-24,64,52,Czech,PDT
ln94202-25,129,99,Czech,PDT
ln94202-26,64,52,Czech,PDT
ln94202-27,541,343,Czech,PDT
ln94202-3,1002,526,Czech,PDT
ln94202-30,320,223,Czech,PDT
ln94202-31,128,101,Czech,PDT
ln94202-32,192,144,Czech,PDT
ln94202-33,42,37,Czech,PDT
ln94202-34,232,159,Czech,PDT
ln94202-35,75,61,Czech,PDT
ln94202-36,199,142,Czech,PDT
ln94202-39,49,44,Czech,PDT
ln94202-4,692,368,Czech,PDT
ln94202-40,330,219,Czech,PDT
ln94202-41,161,121,Czech,PDT
ln94202-42,75,69,Czech,PDT
ln94202-43,166,133,Czech,PDT
ln94202-44,152,114,Czech,PDT
ln94202-45,231,166,Czech,PDT
ln94202-48,386,217,Czech,PDT
ln94202-49,142,106,Czech,PDT
ln94202-5,133,99,Czech,PDT
ln94202-50,70,62,Czech,PDT
ln94202-51,375,252,Czech,PDT
ln94202-52,128,105,Czech,PDT
ln94202-53,132,95,Czech,PDT
ln94202-54,150,104,Czech,PDT
ln94202-57,156,107,Czech,PDT
ln94202-58,915,520,Czech,PDT
ln94202-59,686,398,Czech,PDT
ln94202-6,71,57,Czech,PDT
ln94202-60,425,289,Czech,PDT
ln94202-61,25,23,Czech,PDT
ln94202-62,209,157,Czech,PDT
ln94202-63,363,234,Czech,PDT
ln94202-66,95,75,Czech,PDT
ln94202-67,103,83,Czech,PDT
ln94202-68,212,148,Czech,PDT
ln94202-69,82,69,Czech,PDT
ln94202-7,199,117,Czech,PDT
ln94202-70,105,86,Czech,PDT
ln94202-71,176,125,Czech,PDT
ln94202-72,494,317,Czech,PDT
ln94202-75,90,73,Czech,PDT
ln94202-76,608,397,Czech,PDT
ln94202-77,209,154,Czech,PDT
ln94202-78,694,443,Czech,PDT
ln94202-79,649,421,Czech,PDT
ln94202-8,199,145,Czech,PDT
ln94202-80,624,410,Czech,PDT
ln94202-81,503,292,Czech,PDT
ln94202-84,133,110,Czech,PDT
ln94202-85,610,371,Czech,PDT
ln94202-86,1415,739,Czech,PDT
ln94202-87,128,101,Czech,PDT
ln94202-88,277,215,Czech,PDT
ln94202-89,248,181,Czech,PDT
ln94202-9,112,90,Czech,PDT
ln94202-90,680,455,Czech,PDT
ln94202-93,431,303,Czech,PDT
ln94202-94,17,17,Czech,PDT
ln94202-95,633,404,Czech,PDT
ln94202-96,108,86,Czech,PDT
ln94202-97,314,213,Czech,PDT
ln94202-98,182,145,Czech,PDT
ln94202-99,161,120,Czech,PDT
ln94203-1,528,381,Czech,PDT
ln94203-101,440,287,Czech,PDT
ln94203-102,28,24,Czech,PDT
ln94203-103,159,112,Czech,PDT
ln94203-104,404,249,Czech,PDT
ln94203-105,108,91,Czech,PDT
ln94203-106,62,52,Czech,PDT
ln94203-107,62,53,Czech,PDT
ln94203-108,143,100,Czech,PDT
ln94203-110,116,69,Czech,PDT
ln94203-111,118,91,Czech,PDT
ln94203-112,207,156,Czech,PDT
ln94203-113,19,18,Czech,PDT
ln94203-114,445,299,Czech,PDT
ln94203-115,313,114,Czech,PDT
ln94203-116,445,290,Czech,PDT
ln94203-117,77,66,Czech,PDT
ln94203-12,89,70,Czech,PDT
ln94203-120,131,89,Czech,PDT
ln94203-121,108,83,Czech,PDT
ln94203-122,237,177,Czech,PDT
ln94203-123,101,57,Czech,PDT
ln94203-124,406,277,Czech,PDT
ln94203-125,869,533,Czech,PDT
ln94203-126,371,231,Czech,PDT
ln94203-129,25,24,Czech,PDT
ln94203-13,198,160,Czech,PDT
ln94203-130,296,193,Czech,PDT
ln94203-131,165,131,Czech,PDT
ln94203-132,243,148,Czech,PDT
ln94203-133,296,219,Czech,PDT
ln94203-134,415,268,Czech,PDT
ln94203-135,72,56,Czech,PDT
ln94203-138,93,67,Czech,PDT
ln94203-139,69,61,Czech,PDT
ln94203-14,163,132,Czech,PDT
ln94203-140,233,172,Czech,PDT
ln94203-141,89,73,Czech,PDT
ln94203-142,160,113,Czech,PDT
ln94203-143,179,128,Czech,PDT
ln94203-144,109,71,Czech,PDT
ln94203-15,110,86,Czech,PDT
ln94203-16,120,102,Czech,PDT
ln94203-17,141,109,Czech,PDT
ln94203-18,60,49,Czech,PDT
ln94203-19,225,150,Czech,PDT
ln94203-2,32,29,Czech,PDT
ln94203-20,214,153,Czech,PDT
ln94203-21,33,31,Czech,PDT
ln94203-24,325,217,Czech,PDT
ln94203-25,368,258,Czech,PDT
ln94203-26,132,98,Czech,PDT
ln94203-27,88,76,Czech,PDT
ln94203-28,306,194,Czech,PDT
ln94203-29,238,175,Czech,PDT
ln94203-3,260,182,Czech,PDT
ln94203-30,51,44,Czech,PDT
ln94203-33,179,137,Czech,PDT
ln94203-34,84,71,Czech,PDT
ln94203-35,427,300,Czech,PDT
ln94203-36,36,31,Czech,PDT
ln94203-37,223,169,Czech,PDT
ln94203-38,113,96,Czech,PDT
ln94203-39,131,95,Czech,PDT
ln94203-4,920,539,Czech,PDT
ln94203-42,175,137,Czech,PDT
ln94203-43,216,144,Czech,PDT
ln94203-44,99,80,Czech,PDT
ln94203-45,339,208,Czech,PDT
ln94203-46,129,97,Czech,PDT
ln94203-47,169,122,Czech,PDT
ln94203-48,196,119,Czech,PDT
ln94203-49,94,71,Czech,PDT
ln94203-51,183,143,Czech,PDT
ln94203-52,131,110,Czech,PDT
ln94203-53,273,193,Czech,PDT
ln94203-54,245,153,Czech,PDT
ln94203-55,83,68,Czech,PDT
ln94203-56,281,208,Czech,PDT
ln94203-57,490,321,Czech,PDT
ln94203-58,228,157,Czech,PDT
ln94203-60,521,348,Czech,PDT
ln94203-61,136,98,Czech,PDT
ln94203-62,127,98,Czech,PDT
ln94203-63,154,109,Czech,PDT
ln94203-64,176,133,Czech,PDT
ln94203-65,254,182,Czech,PDT
ln94203-66,41,36,Czech,PDT
ln94203-67,231,174,Czech,PDT
ln94203-7,14,14,Czech,PDT
ln94203-70,90,71,Czech,PDT
ln94203-71,599,368,Czech,PDT
ln94203-72,87,69,Czech,PDT
ln94203-73,135,103,Czech,PDT
ln94203-74,133,105,Czech,PDT
ln94203-75,468,320,Czech,PDT
ln94203-76,779,501,Czech,PDT
ln94203-79,773,499,Czech,PDT
ln94203-8,48,43,Czech,PDT
ln94203-80,607,371,Czech,PDT
ln94203-81,526,349,Czech,PDT
ln94203-82,296,203,Czech,PDT
ln94203-83,709,459,Czech,PDT
ln94203-84,497,330,Czech,PDT
ln94203-85,2086,1002,Czech,PDT
ln94203-88,652,395,Czech,PDT
ln94203-89,239,170,Czech,PDT
ln94203-9,166,90,Czech,PDT
ln94203-90,254,190,Czech,PDT
ln94203-91,48,41,Czech,PDT
ln94203-92,124,91,Czech,PDT
ln94203-93,340,243,Czech,PDT
ln94203-94,142,121,Czech,PDT
ln94203-97,441,315,Czech,PDT
ln94203-98,454,299,Czech,PDT
ln94203-99,364,234,Czech,PDT
ln94204-1,212,162,Czech,PDT
ln94204-10,451,274,Czech,PDT
ln94204-100,562,376,Czech,PDT
ln94204-101,135,100,Czech,PDT
ln94204-102,587,371,Czech,PDT
ln94204-105,594,393,Czech,PDT
ln94204-106,356,261,Czech,PDT
ln94204-107,1277,668,Czech,PDT
ln94204-108,32,29,Czech,PDT
ln94204-109,87,72,Czech,PDT
ln94204-11,69,60,Czech,PDT
ln94204-110,63,55,Czech,PDT
ln94204-111,53,50,Czech,PDT
ln94204-114,203,148,Czech,PDT
ln94204-115,96,75,Czech,PDT
ln94204-116,54,38,Czech,PDT
ln94204-117,19,18,Czech,PDT
ln94204-118,488,317,Czech,PDT
ln94204-119,358,210,Czech,PDT
ln94204-12,174,128,Czech,PDT
ln94204-120,171,123,Czech,PDT
ln94204-123,3,3,Czech,PDT
ln94204-124,384,256,Czech,PDT
ln94204-125,130,105,Czech,PDT
ln94204-126,382,273,Czech,PDT
ln94204-127,26,25,Czech,PDT
ln94204-128,399,278,Czech,PDT
ln94204-129,319,214,Czech,PDT
ln94204-13,54,50,Czech,PDT
ln94204-132,158,127,Czech,PDT
ln94204-133,282,197,Czech,PDT
ln94204-134,285,198,Czech,PDT
ln94204-135,169,121,Czech,PDT
ln94204-136,453,277,Czech,PDT
ln94204-137,525,344,Czech,PDT
ln94204-138,698,442,Czech,PDT
ln94204-139,871,531,Czech,PDT
ln94204-141,1555,879,Czech,PDT
ln94204-142,452,315,Czech,PDT
ln94204-143,735,482,Czech,PDT
ln94204-144,1105,683,Czech,PDT
ln94204-145,517,311,Czech,PDT
ln94204-146,600,417,Czech,PDT
ln94204-147,101,81,Czech,PDT
ln94204-148,97,73,Czech,PDT
ln94204-150,900,527,Czech,PDT
ln94204-151,795,464,Czech,PDT
ln94204-152,69,55,Czech,PDT
ln94204-153,100,84,Czech,PDT
ln94204-154,147,96,Czech,PDT
ln94204-155,161,121,Czech,PDT
ln94204-156,144,111,Czech,PDT
ln94204-157,481,298,Czech,PDT
ln94204-16,247,170,Czech,PDT
ln94204-160,232,170,Czech,PDT
ln94204-161,232,171,Czech,PDT
ln94204-17,227,160,Czech,PDT
ln94204-18,256,158,Czech,PDT
ln94204-19,223,148,Czech,PDT
ln94204-2,890,420,Czech,PDT
ln94204-20,274,203,Czech,PDT
ln94204-23,75,52,Czech,PDT
ln94204-24,168,116,Czech,PDT
ln94204-25,268,192,Czech,PDT
ln94204-26,26,23,Czech,PDT
ln94204-27,496,318,Czech,PDT
ln94204-28,344,221,Czech,PDT
ln94204-29,123,87,Czech,PDT
ln94204-3,426,274,Czech,PDT
ln94204-32,162,120,Czech,PDT
ln94204-33,86,72,Czech,PDT
ln94204-34,215,151,Czech,PDT
ln94204-35,413,253,Czech,PDT
ln94204-36,397,276,Czech,PDT
ln94204-37,116,87,Czech,PDT
ln94204-38,78,63,Czech,PDT
ln94204-39,263,180,Czech,PDT
ln94204-41,139,119,Czech,PDT
ln94204-42,141,102,Czech,PDT
ln94204-43,165,123,Czech,PDT
ln94204-44,11,11,Czech,PDT
ln94204-45,169,131,Czech,PDT
ln94204-46,202,157,Czech,PDT
ln94204-47,215,151,Czech,PDT
ln94204-48,402,260,Czech,PDT
ln94204-50,172,118,Czech,PDT
ln94204-51,223,158,Czech,PDT
ln94204-52,57,50,Czech,PDT
ln94204-53,331,229,Czech,PDT
ln94204-54,99,83,Czech,PDT
ln94204-55,114,92,Czech,PDT
ln94204-56,374,237,Czech,PDT
ln94204-57,269,175,Czech,PDT
ln94204-6,167,117,Czech,PDT
ln94204-60,129,98,Czech,PDT
ln94204-61,100,84,Czech,PDT
ln94204-62,142,115,Czech,PDT
ln94204-63,131,101,Czech,PDT
ln94204-64,153,121,Czech,PDT
ln94204-65,80,70,Czech,PDT
ln94204-66,50,46,Czech,PDT
ln94204-69,44,39,Czech,PDT
ln94204-7,525,300,Czech,PDT
ln94204-70,127,103,Czech,PDT
ln94204-71,283,198,Czech,PDT
ln94204-72,121,101,Czech,PDT
ln94204-73,74,61,Czech,PDT
ln94204-74,29,29,Czech,PDT
ln94204-75,209,151,Czech,PDT
ln94204-78,239,180,Czech,PDT
ln94204-79,744,475,Czech,PDT
ln94204-8,33,28,Czech,PDT
ln94204-80,138,110,Czech,PDT
ln94204-81,134,113,Czech,PDT
ln94204-82,329,225,Czech,PDT
ln94204-83,592,375,Czech,PDT
ln94204-84,282,193,Czech,PDT
ln94204-87,128,103,Czech,PDT
ln94204-88,107,90,Czech,PDT
ln94204-89,33,32,Czech,PDT
ln94204-9,306,203,Czech,PDT
ln94204-90,52,46,Czech,PDT
ln94204-91,247,184,Czech,PDT
ln94204-92,23,22,Czech,PDT
ln94204-93,245,174,Czech,PDT
ln94204-96,118,99,Czech,PDT
ln94204-97,357,249,Czech,PDT
ln94204-98,219,166,Czech,PDT
ln94204-99,122,95,Czech,PDT
ln94205-1,265,196,Czech,PDT
ln94205-10,480,284,Czech,PDT
ln94205-100,118,78,Czech,PDT
ln94205-101,148,108,Czech,PDT
ln94205-104,113,88,Czech,PDT
ln94205-105,165,131,Czech,PDT
ln94205-106,360,257,Czech,PDT
ln94205-107,430,286,Czech,PDT
ln94205-108,352,234,Czech,PDT
ln94205-109,382,242,Czech,PDT
ln94205-11,309,174,Czech,PDT
ln94205-110,210,161,Czech,PDT
ln94205-113,44,33,Czech,PDT
ln94205-114,84,72,Czech,PDT
ln94205-115,174,133,Czech,PDT
ln94205-116,15,15,Czech,PDT
ln94205-118,989,556,Czech,PDT
ln94205-119,167,114,Czech,PDT
ln94205-12,244,173,Czech,PDT
ln94205-122,20,18,Czech,PDT
ln94205-123,179,136,Czech,PDT
ln94205-124,93,82,Czech,PDT
ln94205-125,225,162,Czech,PDT
ln94205-126,216,154,Czech,PDT
ln94205-127,387,272,Czech,PDT
ln94205-128,25,25,Czech,PDT
ln94205-129,230,163,Czech,PDT
ln94205-131,338,200,Czech,PDT
ln94205-132,167,143,Czech,PDT
ln94205-133,160,113,Czech,PDT
ln94205-134,264,188,Czech,PDT
ln94205-135,378,243,Czech,PDT
ln94205-136,664,384,Czech,PDT
ln94205-137,150,115,Czech,PDT
ln94205-138,173,124,Czech,PDT
ln94205-140,86,65,Czech,PDT
ln94205-141,295,178,Czech,PDT
ln94205-142,184,127,Czech,PDT
ln94205-143,161,127,Czech,PDT
ln94205-144,186,137,Czech,PDT
ln94205-15,36,34,Czech,PDT
ln94205-16,96,79,Czech,PDT
ln94205-17,83,68,Czech,PDT
ln94205-2,59,50,Czech,PDT
ln94205-20,253,182,Czech,PDT
ln94205-21,155,110,Czech,PDT
ln94205-22,297,203,Czech,PDT
ln94205-23,175,120,Czech,PDT
ln94205-24,214,140,Czech,PDT
ln94205-25,186,137,Czech,PDT
ln94205-26,46,40,Czech,PDT
ln94205-29,17,16,Czech,PDT
ln94205-3,856,538,Czech,PDT
ln94205-30,102,79,Czech,PDT
ln94205-31,118,95,Czech,PDT
ln94205-32,197,145,Czech,PDT
ln94205-33,419,236,Czech,PDT
ln94205-34,393,271,Czech,PDT
ln94205-35,379,221,Czech,PDT
ln94205-38,141,110,Czech,PDT
ln94205-39,180,135,Czech,PDT
ln94205-4,362,245,Czech,PDT
ln94205-40,42,38,Czech,PDT
ln94205-41,297,182,Czech,PDT
ln94205-42,119,87,Czech,PDT
ln94205-43,93,78,Czech,PDT
ln94205-44,160,120,Czech,PDT
ln94205-47,210,149,Czech,PDT
ln94205-48,280,193,Czech,PDT
ln94205-49,179,125,Czech,PDT
ln94205-5,294,192,Czech,PDT
ln94205-50,291,191,Czech,PDT
ln94205-51,117,83,Czech,PDT
ln94205-52,222,153,Czech,PDT
ln94205-53,250,181,Czech,PDT
ln94205-56,210,151,Czech,PDT
ln94205-57,254,178,Czech,PDT
ln94205-58,297,205,Czech,PDT
ln94205-59,211,152,Czech,PDT
ln94205-6,709,427,Czech,PDT
ln94205-60,137,96,Czech,PDT
ln94205-61,233,167,Czech,PDT
ln94205-62,80,64,Czech,PDT
ln94205-65,299,206,Czech,PDT
ln94205-66,44,34,Czech,PDT
ln94205-67,305,217,Czech,PDT
ln94205-68,228,171,Czech,PDT
ln94205-69,330,222,Czech,PDT
ln94205-7,139,99,Czech,PDT
ln94205-70,481,299,Czech,PDT
ln94205-71,603,396,Czech,PDT
ln94205-74,183,148,Czech,PDT
